title,rank,score,users_rated,Popularity,Favorites,Members,animeType,Episodes,status,premiered,studio,source,rating,genres
Noragami Aragoto,199,8.35,432356,63,8794,728414,TV,13,Finished Airing,Fall 2015,Bones,Manga,PG-13 - Teens 13 or older,"Action,Adventure,Comedy,Supernatural,Shounen"
Re:Zero kara Hajimeru Isekai Seikatsu,200,8.35,598751,24,35228,982224,TV,25,Finished Airing,Spring 2016,White Fox,Light novel,R - 17+ (violence & profanity),"Drama,Fantasy,Psychological,Thriller"
Toradora!,201,8.35,677491,14,41444,1123639,TV,25,Finished Airing,Fall 2008,J.C.Staff,Light novel,PG-13 - Teens 13 or older,"Slice of Life,Comedy,Romance,School"
Fruits Basket 1st Season,202,8.34,47932,607,2142,173446,TV,25,Finished Airing,Spring 2019,TMS Entertainment,Manga,PG-13 - Teens 13 or older,"Comedy,Drama,Romance,Shoujo,Slice of Life,Supernatural"
Major S1,203,8.34,34063,1546,1076,65280,TV,26,Finished Airing,Fall 2004,Studio Hibari,Manga,PG-13 - Teens 13 or older,"Comedy,Sports,Drama,Shounen"
Neon Genesis Evangelion,204,8.34,461720,50,52030,819313,TV,26,Finished Airing,Fall 1995,Gainax,Original,PG-13 - Teens 13 or older,"Action,Dementia,Drama,Mecha,Psychological,Sci-Fi"
Planetes,205,8.34,52818,652,3201,164670,TV,26,Finished Airing,Fall 2003,Sunrise,Manga,PG-13 - Teens 13 or older,"Drama,Romance,Sci-Fi,Seinen,Space"
Hunter x Hunter: Greed Island Final,206,8.33,50216,1204,219,87469,OVA,14,Finished Airing,"Mar 3, 2004 to Aug 18, 2004",Nippon Animation,Manga,"Mar 3, 2004 to Aug 18, 2004","Action,Adventure,Super Power,Fantasy,Shounen"
JoJo no Kimyou na Bouken (TV),207,8.33,309687,108,18741,545249,TV,26,Finished Airing,Fall 2012,David Production,Manga,R - 17+ (violence & profanity),"Action,Adventure,Supernatural,Vampire,Shounen"
K-On! Movie,208,8.33,105718,579,1559,182142,Movie,1,Finished Airing,"Dec 3, 2011",Kyoto Animation,4-koma manga,"Dec 3, 2011","Music,Slice of Life,Comedy"
Koukaku Kidoutai,209,8.33,215097,200,9055,396470,Movie,1,Finished Airing,"Nov 18, 1995",Production I.G,Manga,"Nov 18, 1995","Action,Mecha,Police,Psychological,Sci-Fi,Seinen"
Major S3,210,8.33,29559,1966,309,46252,TV,26,Finished Airing,Winter 2007,Studio Hibari,Manga,PG-13 - Teens 13 or older,"Drama,Shounen,Sports"
Major: World Series,211,8.32,13636,2878,81,23856,OVA,2,Finished Airing,"Dec 16, 2011 to Jan 18, 2012",SynergySP,Manga,"Dec 16, 2011 to Jan 18, 2012","Comedy,Drama,Shounen,Sports"
Shokugeki no Souma: San no Sara - Tootsuki Ressha-hen,212,8.33,147983,326,1262,288598,TV,12,Finished Airing,Spring 2018,J.C.Staff,Manga,PG-13 - Teens 13 or older,"Ecchi,School,Shounen"
Banana Fish,213,8.32,55346,622,4938,171444,TV,24,Finished Airing,Summer 2018,MAPPA,Manga,R - 17+ (violence & profanity),"Action,Adventure,Drama,Shoujo"
Danshi Koukousei no Nichijou,214,8.32,232425,148,9628,459867,TV,12,Finished Airing,Winter 2012,Sunrise,Web manga,PG-13 - Teens 13 or older,"Slice of Life,Comedy,School"
Gin no Saji 2nd Season,215,8.32,63066,1060,513,102271,TV,11,Finished Airing,Winter 2014,A-1 Pictures,Manga,PG-13 - Teens 13 or older,"Comedy,School,Shounen,Slice of Life"
Kono Sekai no Katasumi ni,216,8.32,28599,1347,576,78659,Movie,1,Finished Airing,"Nov 12, 2016",MAPPA,Manga,"Nov 12, 2016","Historical,Drama,Seinen"
Major S2,217,8.32,30954,1919,268,48010,TV,26,Finished Airing,Winter 2006,Studio Hibari,Manga,PG-13 - Teens 13 or older,"Comedy,Drama,Shounen,Sports"
Ookami to Koushinryou,218,8.32,262978,112,14949,530183,TV,13,Finished Airing,Winter 2008,Imagin,Light novel,PG-13 - Teens 13 or older,"Adventure,Fantasy,Historical,Romance"
